Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,¦Ó,DL,G,L,Ni3Al_fraction,creep_life
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,44.22375736,2.21898E-20,68.7255489,0.351420203,0.66636,126.5
67.2,2.5,5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,1315,6,1010,20,871,982,248.4,54.06206143,2.60473E-15,59.44979465,0.355026265,0.6972,132.3
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,871,379.5,38.77110825,6.3561E-21,68.70685163,0.348886846,0.58703,133.8
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,53.4544846,1.35281E-20,67.78173262,0.351800916,0.74472,143.2
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,53.16273093,3.06052E-20,67.72571094,0.351793113,0.7434,147.4
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,54.77751423,3.57051E-20,67.4607695,0.352057889,0.72491,153.7
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,54.77751423,3.57051E-20,67.4607695,0.352057889,0.72491,158.7
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,50.12758446,2.12559E-20,67.05120815,0.35055696,0.66368,161.8
63.2,2.9,10,5.5,0,4.9,2,7.5,3.9,0,0,0,0,0.1,4,4,20,1310,1080,704,1800,248.4,58.35013118,6.52939E-25,69.13912429,0.332727792,0.58639,164.7
60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,4,4,20,1180,1140,870,1100,120,36.92260762,1.83234E-21,64.47402081,0.342492788,0.80438,166
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,1200,70,83.46756615,8.12176E-21,68.26312455,0.355521103,0.58396,167
64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1276,1080,871,982,220.8,41.34221675,1.79973E-21,69.20082315,0.349701573,0.5966,173.5
61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,1200,70,53.654725,6.24371E-21,68.10588085,0.353531697,0.64915,182
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,760,621,38.58970952,6.37274E-21,68.57018427,0.348273768,0.59088,184.4
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,184.5
